Date,Market_Freight_Rate_USD_per_Tonne
2015-01-01 00:00:00,12.12
2015-01-01 01:55:41,11.58
2015-01-01 03:51:23,12.3
2015-01-01 05:47:04,12.38
2015-01-01 07:42:46,11.22
2015-01-01 09:38:27,11.48
2015-01-01 11:34:09,12.05
2015-01-01 13:29:50,11.87
2015-01-01 15:25:32,11.99
2015-01-01 17:21:13,11.66
2015-01-01 19:16:55,12.35
2015-01-01 21:12:36,12.31
2015-01-01 23:08:18,12.03
2015-01-02 01:03:59,12.48
2015-01-02 02:59:41,12.21
2015-01-02 04:55:22,11.68
2015-01-02 06:51:04,12.17
2015-01-02 08:46:45,11.64
2015-01-02 10:42:27,12.38
2015-01-02 12:38:08,12.01
2015-01-02 14:33:50,11.95
2015-01-02 16:29:31,11.75
2015-01-02 18:25:13,12.52
2015-01-02 20:20:54,11.96
2015-01-02 22:16:36,11.86
2015-01-03 00:12:17,11.91
2015-01-03 02:07:59,12.27
2015-01-03 04:03:40,12.2
2015-01-03 05:59:22,12.22
2015-01-03 07:55:03,12.23
2015-01-03 09:50:45,12.91
2015-01-03 11:46:26,11.89
2015-01-03 13:42:08,11.85
2015-01-03 15:37:49,11.73
2015-01-03 17:33:31,12.3
2015-01-03 19:29:13,12.51
2015-01-03 21:24:54,12.01
2015-01-03 23:20:36,11.72
2015-01-04 01:16:17,11.75
2015-01-04 03:11:59,12.34
2015-01-04 05:07:40,12.38
2015-01-04 07:03:22,12.3
2015-01-04 08:59:03,11.81
2015-01-04 10:54:45,12.17
2015-01-04 12:50:26,12.13
2015-01-04 14:46:08,12.17
2015-01-04 16:41:49,12.43
2015-01-04 18:37:31,12.17
2015-01-04 20:33:12,12.35
2015-01-04 22:28:54,12.11
2015-01-05 00:24:35,12.22
2015-01-05 02:20:17,12.36
2015-01-05 04:15:58,11.52
2015-01-05 06:11:40,11.98
2015-01-05 08:07:21,11.92
2015-01-05 10:03:03,11.85
2015-01-05 11:58:44,12.0
2015-01-05 13:54:26,12.7
2015-01-05 15:50:07,11.76
2015-01-05 17:45:49,12.49
2015-01-05 19:41:30,11.43
2015-01-05 21:37:12,11.97
2015-01-05 23:32:53,12.17
2015-01-06 01:28:35,12.37
2015-01-06 03:24:16,12.42
2015-01-06 05:19:58,12.45
2015-01-06 07:15:39,11.99
2015-01-06 09:11:21,11.95
2015-01-06 11:07:03,12.48
2015-01-06 13:02:44,12.06
2015-01-06 14:58:26,11.62
2015-01-06 16:54:07,11.68
2015-01-06 18:49:49,11.77
2015-01-06 20:45:30,12.33
2015-01-06 22:41:12,12.19
2015-01-07 00:36:53,12.44
2015-01-07 02:32:35,11.99
2015-01-07 04:28:16,12.22
2015-01-07 06:23:58,12.41
2015-01-07 08:19:39,12.04
2015-01-07 10:15:21,12.34
2015-01-07 12:11:02,11.9
2015-01-07 14:06:44,12.02
2015-01-07 16:02:25,12.01
2015-01-07 17:58:07,11.68
2015-01-07 19:53:48,12.36
2015-01-07 21:49:30,11.97
2015-01-07 23:45:11,12.17
2015-01-08 01:40:53,12.38
2015-01-08 03:36:34,12.37
2015-01-08 05:32:16,12.45
2015-01-08 07:27:57,12.15
2015-01-08 09:23:39,12.02
2015-01-08 11:19:20,12.16
2015-01-08 13:15:02,11.51
2015-01-08 15:10:43,11.61
2015-01-08 17:06:25,11.66
2015-01-08 19:02:06,11.79
2015-01-08 20:57:48,12.35
2015-01-08 22:53:29,11.82
2015-01-09 00:49:11,12.06
2015-01-09 02:44:52,12.73
2015-01-09 04:40:34,12.07
2015-01-09 06:36:16,12.51
2015-01-09 08:31:57,11.84
2015-01-09 10:27:39,12.13
2015-01-09 12:23:20,11.83
2015-01-09 14:19:02,12.08
2015-01-09 16:14:43,12.55
2015-01-09 18:10:25,11.52
2015-01-09 20:06:06,12.39
2015-01-09 22:01:48,12.31
2015-01-09 23:57:29,11.98
2015-01-10 01:53:11,11.66
2015-01-10 03:48:52,12.27
2015-01-10 05:44:34,12.03
2015-01-10 07:40:15,12.33
2015-01-10 09:35:57,12.25
2015-01-10 11:31:38,12.88
2015-01-10 13:27:20,12.14
2015-01-10 15:23:01,11.83
2015-01-10 17:18:43,12.31
2015-01-10 19:14:24,12.33
2015-01-10 21:10:06,12.78
2015-01-10 23:05:47,12.57
2015-01-11 01:01:29,12.41
2015-01-11 02:57:10,12.85
2015-01-11 04:52:52,11.79
2015-01-11 06:48:33,12.01
2015-01-11 08:44:15,11.9
2015-01-11 10:39:56,12.11
2015-01-11 12:35:38,11.72
2015-01-11 14:31:19,12.52
2015-01-11 16:27:01,12.18
2015-01-11 18:22:42,11.68
2015-01-11 20:18:24,11.86
2015-01-11 22:14:06,12.39
2015-01-12 00:09:47,12.63
2015-01-12 02:05:29,13.09
2015-01-12 04:01:10,13.46
2015-01-12 05:56:52,12.46
2015-01-12 07:52:33,11.9
2015-01-12 09:48:15,11.44
2015-01-12 11:43:56,12.4
2015-01-12 13:39:38,11.97
2015-01-12 15:35:19,12.13
2015-01-12 17:31:01,12.05
2015-01-12 19:26:42,12.24
2015-01-12 21:22:24,12.72
2015-01-12 23:18:05,12.36
2015-01-13 01:13:47,12.26
2015-01-13 03:09:28,11.9
2015-01-13 05:05:10,11.65
2015-01-13 07:00:51,12.12
2015-01-13 08:56:33,12.3
2015-01-13 10:52:14,13.03
2015-01-13 12:47:56,12.37
2015-01-13 14:43:37,12.71
2015-01-13 16:39:19,12.12
2015-01-13 18:35:00,11.84
2015-01-13 20:30:42,11.93
2015-01-13 22:26:23,12.03
2015-01-14 00:22:05,13.2
2015-01-14 02:17:46,12.02
2015-01-14 04:13:28,12.68
2015-01-14 06:09:09,11.98
2015-01-14 08:04:51,12.72
2015-01-14 10:00:32,12.5
2015-01-14 11:56:14,12.28
2015-01-14 13:51:56,12.33
2015-01-14 15:47:37,12.08
2015-01-14 17:43:19,12.52
2015-01-14 19:39:00,12.16
2015-01-14 21:34:42,11.85
2015-01-14 23:30:23,11.83
