country,port,berth,cargo_category,cargo_type,max_draft,max_loa,max_beam
India,Gopalpur,Multipurpose Berth 4,Dry Bulk,Iron Ore,13.6,240.3,37.2
India,Visakhapatnam,Multi Purpose Berth 8,Dry Bulk,Fertilizer,15,238,41.5
India,Sagar-Sandheads,Liquid Bulk Terminal 2,Liquid Bulk,Crude Oil,13.8,246.2,42.3
India,Paradip,Coal Berth 7,Dry Bulk,Thermal Coal,14.5,297,45.4
India,Gangavaram,Coal Berth 3,Dry Bulk,Coal,18.1,328.9,46.7
India,Gangavaram,Coal Berth 3,Dry Bulk,Coal,18.2,323.3,46.5
India,Dhamra,General Cargo Berth 6,Dry Bulk,Fertilizer,14.4,243,38
India,Visakhapatnam,East Quay Berth 2,Dry Bulk,Steam Coal,14.4,238,39.6
India,Paradip,Coal Berth 8,Dry Bulk,Thermal Coal,13.9,308.7,46.9
India,Paradip,SPM Terminal 5,Liquid Bulk,Crude Oil,22.4,366.8,65
India,Dhamra,Coal Berth 5,Dry Bulk,Thermal Coal,17.7,330.6,48.4
India,Visakhapatnam,Oil Handling Berth 2,Liquid Bulk,Petroleum Products,14.5,233.7,40.5
India,Sagar-Sandheads,Sagar Anchorage Berth 6,Dry Bulk,Coal,11.9,256.1,41.4
India,Gangavaram,General Cargo Berth 4,Dry Bulk,Limestone,16.2,272.9,41.9
India,Gangavaram,Coal Berth 7,Dry Bulk,Coal,18.5,338.3,49.1
India,Gangavaram,Coal Berth 7,Dry Bulk,Coal,18,334.6,48.7
India,Gopalpur,Dry Bulk Berth 3,Dry Bulk,Iron Ore,14,234.8,35
India,Haldia,Oil Jetty 1,Liquid Bulk,Petroleum Products,10.7,222.2,34.9
India,Haldia,Haldia Dock Complex 3,Dry Bulk,Iron Ore,10.4,230.4,32.1
India,Gopalpur,Dry Bulk Berth 2,Dry Bulk,Coal,14.1,236.7,37.1
India,Paradip,General Cargo Berth 3,Dry Bulk,Coal,14.5,298.9,46.1
India,Dhamra,LPG Berth 7,Bulk Gases,LPG,12,222.6,34.3
India,Gopalpur,Dry Bulk Berth 2,Dry Bulk,Coal,13.8,242.3,36.3
India,Gopalpur,Multipurpose Berth 3,Dry Bulk,Coal,14,237.2,35.8
India,Haldia,Haldia Dock Complex 7,Dry Bulk,Fertilizer,10.5,231.2,31.8
India,Sagar-Sandheads,Sagar Anchorage Berth 1,Dry Bulk,Coal,12,248.6,42.3
