cargo_category,cargo_type,vessel_type,min_dwt,max_dwt,draft,loa,beam
Dry Bulk,Coal,Panamax,83921,91203,13.0,242.1,32.2
Liquid Bulk,Petroleum Products,Suezmax,147257,206346,16.4,274.1,48.5
Liquid Bulk,Chemicals,MR Tanker,35378,46086,10.8,170.9,30.4
Dry Bulk,Salt,Handysize,20528,26271,7.9,172.9,28.8
Dry Bulk,Bauxite,Capesize,200372,200872,16.2,280.7,44.3
Bulk Gases,Propane,LPG Carrier,40634,42059,10.5,170.6,29.2
Bulk Gases,Ethylene,LNG Carrier,123884,195318,12.1,290.0,47.4
Liquid Bulk,Fuel Oil,Suezmax,120715,175400,15.1,268.9,48.0
Dry Bulk,Salt,Handysize,30939,33640,7.7,176.6,28.7
Liquid Bulk,Chemicals,Aframax,85546,105361,14.6,248.1,40.1
Bulk Gases,Ammonia,LPG Carrier,45283,49379,10.1,183.4,31.0
Liquid Bulk,Vegetable Oil,LR1 Tanker,70395,70895,12.5,233.6,35.6
Liquid Bulk,Diesel,Suezmax,150132,172562,15.7,264.6,49.0
Dry Bulk,Bauxite,Supramax,56868,57368,11.1,201.4,31.6
Dry Bulk,Bauxite,Handysize,29090,44602,7.7,188.6,27.1
Dry Bulk,Bauxite,Panamax,85872,91213,12.5,230.5,30.7
Dry Bulk,Clinker,Panamax,73590,91135,13.3,224.3,31.8
Dry Bulk,Iron Ore,Capesize,124475,193640,16.5,289.5,45.2
Dry Bulk,Fertilizer,Panamax,84419,100381,12.3,225.5,32.0
Dry Bulk,Clinker,Handysize,8090,30543,7.7,177.7,30.2
Dry Bulk,Salt,Panamax,66589,86318,12.3,225.5,31.7
Bulk Gases,Propane,Gas Carrier,26060,45621,9.4,170.2,27.9
Dry Bulk,Clinker,Handysize,4751,27983,7.6,193.1,30.3
Dry Bulk,Coal,Panamax,81677,91865,11.9,239.2,33.2
Dry Bulk,Grain,Capesize,174524,175024,16.7,278.6,46.1
Liquid Bulk,Crude Oil,MR Tanker,53487,53987,10.6,185.2,31.1
Dry Bulk,Bauxite,Panamax,60106,91077,12.1,233.1,31.9
Dry Bulk,Iron Ore,Capesize,170350,170850,16.2,297.2,43.2
Dry Bulk,Salt,Handysize,26849,40707,7.0,179.5,30.4
Bulk Gases,Ethylene,Gas Carrier,29705,30205,8.7,169.2,28.4
Dry Bulk,Salt,Handysize,27033,34729,7.4,179.8,30.5
Dry Bulk,Bauxite,Handysize,20542,46461,7.9,169.7,30.5
Bulk Gases,Ethylene,LPG Carrier,35785,58514,10.7,173.8,30.6
Liquid Bulk,Petroleum Products,Suezmax,162955,190484,17.0,275.6,47.1
Liquid Bulk,Vegetable Oil,Aframax,85322,97947,13.8,247.8,41.8
Liquid Bulk,Diesel,Aframax,107076,110470,14.8,242.4,46.0
Dry Bulk,Clinker,Panamax,81977,82477,12.1,228.5,32.3
Bulk Gases,LNG,LPG Carrier,45498,53754,10.1,174.6,28.4
Dry Bulk,Steel Products,Panamax,73341,98417,12.7,221.5,32.3
Dry Bulk,Fertilizer,Panamax,88161,88661,12.8,228.6,31.3
Bulk Gases,LPG,LPG Carrier,45186,56650,10.5,186.4,28.4
Dry Bulk,Grain,Panamax,66422,93312,12.8,234.2,36.1
Bulk Gases,Butane,LNG Carrier,132595,192806,12.7,293.7,45.1
Liquid Bulk,Gasoline,Suezmax,171279,171779,15.9,269.5,48.3
Dry Bulk,Cement,Supramax,63782,64282,11.1,185.7,31.4
Dry Bulk,Steel Products,Handysize,32566,33293,7.1,176.5,30.9
Dry Bulk,Clinker,Supramax,46101,57085,10.6,192.5,34.4
Dry Bulk,Iron Ore,Capesize,149868,150368,16.4,288.7,45.7
Dry Bulk,Iron Ore,Panamax,71375,88364,12.9,235.3,31.3
Dry Bulk,Bauxite,Panamax,73314,87062,12.3,241.6,33.3
Liquid Bulk,Vegetable Oil,LR1 Tanker,57744,77364,13.9,238.9,33.5
Liquid Bulk,Crude Oil,MR Tanker,34876,53763,10.5,187.9,32.6
Liquid Bulk,Petroleum Products,MR Tanker,30949,47529,9.1,173.6,31.9
Liquid Bulk,Gasoline,MR Tanker,30111,55587,10.2,180.7,32.4
Dry Bulk,Salt,Handysize,36564,37064,8.3,178.4,29.2
Liquid Bulk,Petroleum Products,Aframax,110070,113515,13.6,245.2,41.3
Bulk Gases,LNG,LNG Carrier,127908,168558,13.0,282.1,48.1
Dry Bulk,Bauxite,Panamax,55747,89449,12.9,231.8,32.2
Bulk Gases,Ethylene,Gas Carrier,21807,26139,9.0,171.1,28.4
Dry Bulk,Clinker,Supramax,46248,59461,10.7,202.8,33.0
Dry Bulk,Coal,Supramax,45890,51987,10.8,204.2,32.0
Dry Bulk,Clinker,Capesize,137152,208421,15.9,293.9,44.4
Liquid Bulk,Diesel,Suezmax,156326,196851,16.4,279.6,49.4
Dry Bulk,Coal,Handysize,23261,36094,7.5,182.0,30.3
Dry Bulk,Clinker,Capesize,136738,190626,15.8,304.8,44.0
