country,port,berth,cargo_category,cargo_type,max_draft,max_loa,max_beam
Mozambique,Port of Quelimane,Coastal Wharf,Dry Bulk,Agricultural Produce,4.78,104.9,23
Russia,Port of Vostochny,VSC Container Terminal / Coal Terminal,Dry Bulk,Timber,11.25,212.7,37
Mozambique,Port of Pemba,Main Pier,Dry Bulk,General Cargo,6.04,108.2,18.3
Mozambique,Port of Pemba,Main Pier,Dry Bulk,General Cargo,8.49,109.6,22.6
Indonesia,Port of Tanjung Perak,Terminal Petikemas Surabaya - TPS,Dry Bulk,Domestic General Cargo,8.3,246.3,28.4
Indonesia,Port of Tanjung Priok,JICT - Jakarta International Container Terminal,Dry Bulk,General Cargo,12.15,291.6,42.2
Australia,Port of Adelaide,Inner Harbor / Outer Harbor Berths,Dry Bulk,Grain,11.99,185.7,32.8
Australia,Port of Newcastle,Carrington & Kooragang Berths,Dry Bulk,Coal,11.78,250.4,49.2
Australia,Fremantle Port,Inner Harbour Berths 1-10,Dry Bulk,Breakbulk,12.48,240.9,33.2
Mozambique,Port of Quelimane,Coastal Wharf,Dry Bulk,Timber,5.18,96.9,19.1
Indonesia,Port of Tanjung Priok,JICT - Jakarta International Container Terminal,Dry Bulk,General Cargo,10.37,215.4,42.4
Russia,Port of Vladivostok,Commercial Sea Port Berths,Dry Bulk,Metals,9.81,193.9,25.6
Russia,Port of Vladivostok,Commercial Sea Port Berths,Dry Bulk,Metals,8.03,255.6,31.9
Australia,Port of Adelaide,Inner Harbor / Outer Harbor Berths,Dry Bulk,Cars,12.35,226.3,35.7
Mozambique,Port of Quelimane,Coastal Wharf,Dry Bulk,Agricultural Produce,5,131.6,19.7
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Refrigerated Cargo,10.21,194.7,33.5
Mozambique,Port of Beira,Berths 1-10,Dry Bulk,Tobacco,9.39,130.8,28.5
Mozambique,Port of Quelimane,Coastal Wharf,Dry Bulk,Copra,5.89,130.1,20.7
Mozambique,Port of Nacala,General Cargo & Container Pier,Dry Bulk,Cement,12.33,140.4,29.4
